gvkey,permno,adate,qdate,public_date,bm,evm,pe_exi,pe_inc,ps,pcf,npm,opmbd,gpm,cfm,roa,roe,roce,equity_invcap,debt_invcap,totdebt_invcap,capital_ratio,int_totdebt,debt_ebitda,ocf_lct,cash_debt,lt_ppent,cash_ratio,quick_ratio,curr_ratio,inv_turn,at_turn,rect_turn,pay_turn,ptb,divyield,TICKER
12141,10107,2019-06-30,2019-12-31,2020-02-29,0.092,18.481,28.176,28.176,9.179,22.766,0.33,0.457,0.767,0.42,0.226,0.444,0.267,0.566,0.434,0.473,0.434,0.03,1.408,0.898,0.283,3.881,2.225,2.738,2.773,14.811,0.483,5.875,3.635,11.169,1.26%,MSFT
12141,10107,2019-06-30,2020-03-31,2020-05-31,0.096,18.8,30.491,30.491,10.019,23.914,0.334,0.463,0.77,0.422,0.231,0.445,0.274,0.578,0.422,0.458,0.422,0.03,1.337,0.945,0.283,3.712,2.206,2.728,2.762,15.67,0.489,5.85,3.513,12.117,1.11%,MSFT
12141,10107,2020-06-30,2020-06-30,2020-08-31,0.077,24.868,39.155,39.155,11.934,28.129,0.31,0.456,0.764,0.399,0.222,0.401,0.272,0.608,0.392,0.422,0.392,0.031,1.258,0.839,0.332,3.459,1.888,2.49,2.516,17.068,0.487,4.648,3.068,14.402,.905%,MSFT
12141,10107,2020-06-30,2020-09-30,2020-11-30,0.078,21.37,34.583,34.583,11.002,24.451,0.323,0.466,0.768,0.408,0.239,0.422,0.285,0.602,0.398,0.435,0.398,0.03,1.226,1.016,0.332,3.378,2.096,2.641,2.672,16.96,0.503,5.821,3.182,13.097,1.05%,MSFT
12141,10107,2020-06-30,2020-12-31,2021-02-28,0.078,21.955,34.632,34.632,11.434,25.764,0.335,0.471,0.762,0.413,0.247,0.439,0.3,0.616,0.384,0.42,0.384,0.03,1.15,1.013,0.332,3.184,2.026,2.589,2.619,17.866,0.514,5.846,3.11,13.44,.964%,MSFT
12141,10107,2020-06-30,2021-03-31,2021-05-31,0.076,22.727,34.016,34.016,11.755,25.865,0.35,0.476,0.758,0.424,0.255,0.46,0.314,0.631,0.369,0.41,0.369,0.03,1.082,1.031,0.332,2.984,1.886,2.446,2.477,17.669,0.527,5.898,3.072,13.963,.897%,MSFT
12141,10107,2021-06-30,2021-06-30,2021-08-31,0.07,26.222,37.501,37.501,13.496,29.562,0.365,0.481,0.754,0.434,0.255,0.47,0.329,0.665,0.335,0.385,0.335,0.028,1.018,0.866,0.4,2.709,1.47,2.05,2.08,18.244,0.529,4.799,3.039,15.955,.742%,MSFT
12141,10107,2021-06-30,2021-09-30,2021-11-30,0.072,22.923,36.979,36.979,14.083,30.289,0.385,0.491,0.758,0.455,0.277,0.512,0.346,0.659,0.341,0.383,0.341,0.028,0.94,1.061,0.4,2.642,1.678,2.228,2.261,16.689,0.55,5.923,3.085,16.309,.750%,MSFT
12141,10107,2021-06-30,2021-12-31,2022-02-28,0.064,23.947,31.82,31.82,12.114,26.695,0.385,0.495,0.759,0.455,0.286,0.509,0.356,0.672,0.328,0.369,0.328,0.028,0.881,1.053,0.4,2.506,1.605,2.155,2.191,15.791,0.561,5.906,3.116,13.982,.830%,MSFT
12141,10107,2021-06-30,2022-03-31,2022-05-31,0.071,24.285,28.379,28.379,10.56,23.34,0.376,0.497,0.759,0.448,0.291,0.492,0.36,0.681,0.319,0.353,0.319,0.026,0.834,1.075,0.4,2.387,1.515,2.081,2.119,15.01,0.569,5.856,3.091,12.457,.912%,MSFT
12141,10107,2022-06-30,2022-06-30,2022-08-31,0.087,20.338,27.095,27.095,9.835,21.902,0.367,0.495,0.758,0.44,0.281,0.471,0.356,0.697,0.303,0.328,0.303,0.025,0.799,0.936,0.449,2.265,1.102,1.745,1.785,15.067,0.568,4.486,2.878,11.693,.948%,MSFT
12141,10107,2022-06-30,2022-09-30,2022-11-30,0.1,22.254,27.494,27.494,9.366,21.689,0.344,0.487,0.752,0.413,0.285,0.435,0.354,0.697,0.303,0.33,0.303,0.026,0.794,1.04,0.449,2.191,1.31,1.909,1.952,14.078,0.576,5.497,3.061,10.944,1.07%,MSFT
12141,10107,2022-06-30,2022-12-31,2023-02-28,0.103,20.494,27.744,27.744,9.097,22.002,0.33,0.482,0.752,0.4,0.279,0.406,0.344,0.705,0.295,0.32,0.295,0.025,0.792,0.988,0.449,2.091,1.218,1.838,1.88,14.179,0.569,5.439,3.019,10.122,1.09%,MSFT
12141,10107,2022-06-30,2023-03-31,2023-05-31,0.091,19.728,35.617,35.617,11.762,29.263,0.332,0.482,0.752,0.4,0.279,0.402,0.345,0.717,0.283,0.312,0.283,0.026,0.782,0.954,0.449,1.997,1.189,1.824,1.864,14.821,0.565,5.361,3.076,12.523,.828%,MSFT
12141,10107,2023-06-30,2023-06-30,2023-08-31,0.082,25.295,33.86,33.86,11.491,27.805,0.341,0.487,0.754,0.407,0.266,0.388,0.338,0.745,0.255,0.287,0.255,0.025,0.77,0.841,0.426,1.871,1.068,1.745,1.769,16.729,0.546,3.915,2.748,11.784,.830%,MSFT
12141,10107,2023-06-30,2023-09-30,2023-11-30,0.094,20.783,36.681,36.681,12.9,29.654,0.353,0.504,0.764,0.422,0.29,0.406,0.355,0.74,0.26,0.315,0.26,0.024,0.778,0.958,0.426,1.871,1.158,1.772,1.8,18.163,0.545,4.898,2.956,12.732,.792%,MSFT
6066,12490,2013-12-31,2014-09-30,2015-01-31,0.076,9.6,9.673,12.597,1.582,8.763,0.171,0.254,0.553,0.219,0.199,0.84,0.325,0.345,0.652,0.854,0.654,0.023,1.801,0.418,0.169,8.037,0.241,1.116,1.173,18.171,0.781,3.214,6.478,10.658,2.87%,IBM
6066,12490,2014-12-31,2014-12-31,2015-02-28,0.076,8.747,10.387,13.608,1.725,9.489,0.17,0.246,0.554,0.218,0.187,0.859,0.318,0.252,0.745,0.867,0.747,0.026,1.787,0.426,0.16,9.796,0.214,1.195,1.248,18.741,0.761,2.915,5.745,13.168,2.72%,IBM
6066,12490,2014-12-31,2015-03-31,2015-05-31,0.077,9.537,10.826,14.126,1.853,9.74,0.173,0.249,0.555,0.223,0.186,1.036,0.306,0.289,0.708,0.893,0.71,0.024,1.911,0.429,0.16,9.037,0.229,1.14,1.194,18.283,0.763,3.062,6.258,13.76,3.07%,IBM
6066,12490,2014-12-31,2015-06-30,2015-08-31,0.086,9.81,9.853,13.007,1.667,8.298,0.172,0.243,0.555,0.222,0.179,1.066,0.299,0.276,0.721,0.872,0.723,0.024,1.943,0.456,0.16,9.493,0.233,1.174,1.229,18.55,0.754,3.008,6.127,10.586,3.52%,IBM
6066,12490,2014-12-31,2015-09-30,2015-11-30,0.095,9.645,9.569,9.709,1.614,7.604,0.172,0.24,0.556,0.219,0.174,1.104,0.3,0.274,0.723,0.847,0.726,0.025,1.966,0.492,0.16,9.365,0.246,1.214,1.267,19.586,0.743,2.974,6.005,10.174,3.73%,IBM
6066,12490,2015-12-31,2015-12-31,2016-02-29,0.109,8.896,9.635,9.764,1.54,7.403,0.163,0.238,0.548,0.211,0.17,1.002,0.291,0.298,0.699,0.834,0.701,0.025,2.054,0.496,0.177,8.956,0.239,1.195,1.24,20.233,0.717,2.707,5.649,8.674,3.97%,IBM
6066,12490,2015-12-31,2016-03-31,2016-05-31,0.103,10.404,11.577,11.656,1.826,7.75,0.16,0.221,0.549,0.209,0.161,0.967,0.265,0.287,0.71,0.836,0.712,0.026,2.296,0.551,0.177,9.162,0.3,1.235,1.284,21.56,0.717,2.985,6.451,9.888,3.64%,IBM
6066,12490,2015-12-31,2016-06-30,2016-08-31,0.108,10.801,12.917,12.928,1.892,8.164,0.149,0.212,0.546,0.199,0.151,0.847,0.235,0.285,0.712,0.83,0.714,0.026,2.498,0.546,0.177,9.155,0.317,1.242,1.29,22.284,0.704,3.002,6.588,9.653,3.52%,IBM
6066,12490,2015-12-31,2016-09-30,2016-11-30,0.113,11.212,13.232,13.232,1.923,8.302,0.148,0.208,0.544,0.2,0.146,0.81,0.218,0.293,0.704,0.816,0.706,0.027,2.589,0.543,0.177,9.136,0.319,1.23,1.278,21.99,0.693,2.998,6.649,9.068,3.45%,IBM
6066,12490,2016-12-31,2016-12-31,2017-02-28,0.119,12.153,14.513,14.525,2.122,10.002,0.149,0.205,0.535,0.203,0.144,0.716,0.21,0.344,0.653,0.795,0.655,0.029,2.573,0.467,0.171,9.148,0.235,1.167,1.21,23.95,0.701,2.765,6.076,9.084,3.11%,IBM
6066,12490,2016-12-31,2017-03-31,2017-05-31,0.112,11.749,12.541,12.552,1.806,9.392,0.146,0.211,0.535,0.202,0.143,0.701,0.205,0.324,0.674,0.803,0.676,0.028,2.562,0.434,0.171,9.085,0.283,1.173,1.22,22.451,0.678,2.972,6.611,7.824,3.93%,IBM
